ObjectID,TOOLTIP,Battalion,Division,District,Battalion_Name,District_Name
64,Fire Battalion: 4\nFire Division: South Division\nFire District: 62,4,South Division,62,Battalion 4,District 62
65,Fire Battalion: 5\nFire Division: North Division\nFire District: 56,5,North Division,56,Battalion 5,District 56
66,Fire Battalion: 13\nFire Division: South Division\nFire District: 57,13,South Division,57,Battalion 13,District 57
67,Fire Battalion: 12\nFire Division: North Division\nFire District: 77,12,North Division,77,Battalion 12,District 77
68,Fire Battalion: 18\nFire Division: South Division\nFire District: 34,18,South Division,34,Battalion 18,District 34
69,Fire Battalion: 12\nFire Division: North Division\nFire District: 75,12,North Division,75,Battalion 12,District 75
70,Fire Battalion: 2\nFire Division: South Division\nFire District: 42,2,South Division,42,Battalion 2,District 42
71,Fire Battalion: 17\nFire Division: North Division\nFire District: 106,17,North Division,106,Battalion 17,District 106
72,Fire Battalion: 1\nFire Division: South Division\nFire District: 4,1,South Division,4,Battalion 1,District 4
73,Fire Battalion: 18\nFire Division: South Division\nFire District: 68,18,South Division,68,Battalion 18,District 68
74,Fire Battalion: 17\nFire Division: North Division\nFire District: 104,17,North Division,104,Battalion 17,District 104
75,Fire Battalion: 10\nFire Division: North Division\nFire District: 83,10,North Division,83,Battalion 10,District 83
76,Fire Battalion: 13\nFire Division: South Division\nFire District: 21,13,South Division,21,Battalion 13,District 21
77,Fire Battalion: 1\nFire Division: South Division\nFire District: 9,1,South Division,9,Battalion 1,District 9
78,Fire Battalion: 13\nFire Division: South Division\nFire District: 64,13,South Division,64,Battalion 13,District 64
79,Fire Battalion: 10\nFire Division: North Division\nFire District: 109,10,North Division,109,Battalion 10,District 109
80,Fire Battalion: 18\nFire Division: South Division\nFire District: 94,18,South Division,94,Battalion 18,District 94
81,Fire Battalion: 17\nFire Division: North Division\nFire District: 105,17,North Division,105,Battalion 17,District 105
82,Fire Battalion: 9\nFire Division: North Division\nFire District: 59,9,North Division,59,Battalion 9,District 59
83,Fire Battalion: 11\nFire Division: South Division\nFire District: 11,11,South Division,11,Battalion 11,District 11
84,Fire Battalion: 15\nFire Division: North Division\nFire District: 70,15,North Division,70,Battalion 15,District 70
85,Fire Battalion: 6\nFire Division: South Division\nFire District: 38,6,South Division,38,Battalion 6,District 38
86,Fire Battalion: 5\nFire Division: North Division\nFire District: 41,5,North Division,41,Battalion 5,District 41
87,Fire Battalion: 12\nFire Division: North Division\nFire District: 91,12,North Division,91,Battalion 12,District 91
88,Fire Battalion: 17\nFire Division: North Division\nFire District: 84,17,North Division,84,Battalion 17,District 84
89,Fire Battalion: 5\nFire Division: North Division\nFire District: 35,5,North Division,35,Battalion 5,District 35
90,Fire Battalion: 10\nFire Division: North Division\nFire District: 100,10,North Division,100,Battalion 10,District 100
91,Fire Battalion: 11\nFire Division: South Division\nFire District: 26,11,South Division,26,Battalion 11,District 26
92,Fire Battalion: 1\nFire Division: South Division\nFire District: 14,1,South Division,14,Battalion 1,District 14
93,Fire Battalion: 5\nFire Division: North Division\nFire District: 52,5,North Division,52,Battalion 5,District 52
94,Fire Battalion: 13\nFire Division: South Division\nFire District: 65,13,South Division,65,Battalion 13,District 65
95,Fire Battalion: 14\nFire Division: North Division\nFire District: 86,14,North Division,86,Battalion 14,District 86
96,Fire Battalion: 12\nFire Division: North Division\nFire District: 98,12,North Division,98,Battalion 12,District 98
97,Fire Battalion: 11\nFire Division: South Division\nFire District: 6,11,South Division,6,Battalion 11,District 6
98,Fire Battalion: 17\nFire Division: North Division\nFire District: 72,17,North Division,72,Battalion 17,District 72
99,Fire Battalion: 12\nFire Division: North Division\nFire District: 74,12,North Division,74,Battalion 12,District 74
100,Fire Battalion: 15\nFire Division: North Division\nFire District: 96,15,North Division,96,Battalion 15,District 96
101,Fire Battalion: 12\nFire Division: North Division\nFire District: 7,12,North Division,7,Battalion 12,District 7
102,Fire Battalion: 18\nFire Division: South Division\nFire District: 43,18,South Division,43,Battalion 18,District 43
103,Fire Battalion: 6\nFire Division: South Division\nFire District: 40,6,South Division,40,Battalion 6,District 40
104,Fire Battalion: 5\nFire Division: North Division\nFire District: 41,5,North Division,41,Battalion 5,District 41
105,Fire Battalion: 18\nFire Division: South Division\nFire District: 92,18,South Division,92,Battalion 18,District 92
106,Fire Battalion: 11\nFire Division: South Division\nFire District: 20,11,South Division,20,Battalion 11,District 20
107,Fire Battalion: 1\nFire Division: South Division\nFire District: 2,1,South Division,2,Battalion 1,District 2
